username,rating_count,percentage
wanda yana,3,0.007752538956508256
Din Bachrudim,3,0.007752538956508256
Andri Gunawan,3,0.007752538956508256
Diana fitri lathifah,3,0.007752538956508256
rhieza wardhany,3,0.007752538956508256
Mochamad Septoni Fauzi,3,0.007752538956508256
Cj Wck,3,0.007752538956508256
Muhammad Ridwan,3,0.007752538956508256
Cipta saputra,3,0.007752538956508256
Deni Taryana,3,0.007752538956508256
tiwuk retnowati,3,0.007752538956508256
sundahadi suharno,3,0.007752538956508256
FirmanSyah Channel,3,0.007752538956508256
Uday Sudaya,3,0.007752538956508256
Martin May,3,0.007752538956508256
dadang rahmat,3,0.007752538956508256
Adi Luqman Prawira,3,0.007752538956508256
Nisa Nafisa,3,0.007752538956508256
Maman Sulaeman,3,0.007752538956508256
As Supriatna,3,0.007752538956508256
Aditiya Nugraha,3,0.007752538956508256
Kang Aang,3,0.007752538956508256
Tatang Tahyan,3,0.007752538956508256
Kurniawan Fazar,3,0.007752538956508256
Wandi Lesmana,3,0.007752538956508256
Martin Crow,3,0.007752538956508256
Agung Agung,3,0.007752538956508256
yukk photo,3,0.007752538956508256
Diditsiadit,3,0.007752538956508256
bengkel tv,3,0.007752538956508256
Mag CJL,3,0.007752538956508256
iyoel plester,3,0.007752538956508256
Abi Billal,3,0.007752538956508256
Khaidir Fahram,3,0.007752538956508256
M Akbar Pora,3,0.007752538956508256
dodi rohendi,3,0.007752538956508256
Akun Kurnia,3,0.007752538956508256
Aliza Kumar,3,0.007752538956508256
Rendra Ekacipta,3,0.007752538956508256
Lusia Budiman,3,0.007752538956508256
Yusup,3,0.007752538956508256
ᮃᮜ᮪ᮖᮔ᮪ Карим,3,0.007752538956508256
yaya sutarya,3,0.007752538956508256
M Suriyana,3,0.007752538956508256
Syamsul Gowes,3,0.007752538956508256
Yusup Supriatna,3,0.007752538956508256
AfiZak Channel,3,0.007752538956508256
arkan yassar,3,0.007752538956508256
XPOSSIP,3,0.007752538956508256
Deden Hendrayadi,3,0.007752538956508256
Maryadi Abang,3,0.007752538956508256
Naufal Al Hadid,3,0.007752538956508256
trisula sumedang,3,0.007752538956508256
Dani Irawan,3,0.007752538956508256
Sari pudin,3,0.007752538956508256
dimas akhmad nuragung,3,0.007752538956508256
Yusup Ependi,3,0.007752538956508256
Sri Noviyanti,3,0.007752538956508256
Lisaloka Loka,3,0.007752538956508256
Puji Wangsanegara,3,0.007752538956508256
Imanul Budi,3,0.007752538956508256
Warih Wibowo,3,0.007752538956508256
Farida Nurrizky,3,0.007752538956508256
alexa07 89,3,0.007752538956508256
aisyah Ramadhani,3,0.007752538956508256
Erwin Permana Kantawijaya,3,0.007752538956508256
RITA HARYATI,3,0.007752538956508256
Sopi maharadika,3,0.007752538956508256
Slamet Priyono,3,0.007752538956508256
arsan16,3,0.007752538956508256
Asep AHMAD FARID,3,0.007752538956508256
darajat hasbullah,3,0.007752538956508256
Pradipta Athaya Rizal 19,3,0.007752538956508256
SUM H.O,3,0.007752538956508256
Denih Pas,3,0.007752538956508256
Andy Tocketz,3,0.007752538956508256
Elan Wardiah,3,0.007752538956508256
Resti Fauzy,3,0.007752538956508256
Herdi,3,0.007752538956508256
Ridwan Luwia,3,0.007752538956508256
Banyu Saputra,3,0.007752538956508256
Aan Kalsan,3,0.007752538956508256
Dian Risdiana,3,0.007752538956508256
Ade Popon,3,0.007752538956508256
Amilia Tresnawati,3,0.007752538956508256
Oktv Na Miss,3,0.007752538956508256
Dika Sandhika,3,0.007752538956508256
Dadan Setiawan,3,0.007752538956508256
Imas Rahayu,3,0.007752538956508256
Suhe Ndar,3,0.007752538956508256
Indang Mas Sugeng,3,0.007752538956508256
Aris Dedembbn,3,0.007752538956508256
Agung Prasetyo,2,0.005168359304338838
Rona Senja purnama,2,0.005168359304338838
Erlangga,2,0.005168359304338838
James Ferdinand Makal,2,0.005168359304338838
Candradiki Ardiana,2,0.005168359304338838
Mochammad Diva Al-Ghiffary,2,0.005168359304338838
